num_qubits,noise_level,attack_probability,qber,sifted_key_length,eve_qber_contribution,label
648,0.113663,0.579452,0.212575,334,0.1368,1
555,0.09236,0.03483,0.090592,287,0.029019,0
1397,0.063253,0.553096,0.19382,712,0.151652,1
1310,0.046535,0.630737,0.176744,645,0.145721,1
365,0.124119,0.368421,0.127551,196,0.044805,1
1683,0.076064,0.341953,0.116082,827,0.065373,1
480,0.07447,0.787422,0.216867,249,0.167221,1
1630,0.017015,0.370877,0.111253,782,0.09991,1
113,0.032757,0.286448,0.051724,58,0.029886,0
1614,0.054073,0.784706,0.206388,814,0.170339,1
1595,0.104828,0.984843,0.27907,774,0.209184,1
1583,0.126791,0.184787,0.122653,799,0.038126,0
1363,0.148929,0.37843,0.183554,681,0.084268,1
996,0.064115,0.002623,0.045643,482,0.0029,0
1440,0.067981,0.485734,0.14966,735,0.104339,1
626,0.114909,0.282834,0.13738,313,0.060774,0
1584,0.048184,0.825624,0.255786,821,0.223663,1
1156,0.081078,0.915772,0.289703,573,0.235652,1
972,0.101553,0.116171,0.078629,496,0.010927,0
1061,0.035437,0.863803,0.248077,520,0.224452,1
1181,0.041938,0.214986,0.086179,615,0.05822,0
170,0.053429,0.307961,0.068966,87,0.033346,1
365,0.086653,0.885743,0.292079,202,0.234311,1
566,0.040562,0.365246,0.109091,275,0.082049,1
317,0.031225,0.016865,0.026667,150,0.00585,0
935,0.022426,0.051806,0.024145,497,0.009194,0
1370,0.121396,0.337674,0.160637,691,0.079706,1
1344,0.132896,0.88442,0.303937,635,0.21534,1
995,0.135708,0.088674,0.108652,497,0.01818,0
1725,0.123245,0.195574,0.111507,843,0.029343,0
1174,0.020593,0.967339,0.254747,632,0.241018,1
250,0.014663,0.411472,0.098485,132,0.08871,1
1554,0.074875,0.872646,0.216602,771,0.166685,1
1192,0.078214,0.383383,0.12709,598,0.074948,1
1306,0.109923,0.518307,0.200608,658,0.127326,1
1174,0.033432,0.946937,0.273356,578,0.251068,1
1152,0.139642,0.956379,0.308492,577,0.215397,1
272,0.046489,0.165535,0.081481,135,0.050489,0
1163,0.086671,0.676755,0.225473,581,0.167692,1
1611,0.129632,0.424217,0.183292,802,0.09687,1
677,0.078517,0.149763,0.08427,356,0.031925,0
1245,0.113034,0.025773,0.083728,633,0.008373,0
158,0.112354,0.507796,0.25,80,0.175097,1
760,0.118503,0.093735,0.115591,372,0.036589,0
930,0.121657,0.93837,0.314894,470,0.233789,1
1968,0.058869,0.249941,0.093561,994,0.054315,0
507,0.054533,0.43982,0.162162,259,0.125807,1
625,0.120525,0.726377,0.241935,310,0.161586,1
876,0.086957,0.507671,0.163717,452,0.105746,1
1987,0.091157,0.377357,0.131013,977,0.070242,1
1722,0.061788,0.629602,0.182036,835,0.140844,1
165,0.030242,0.197687,0.105263,76,0.085102,0
544,0.06854,0.49075,0.178295,258,0.132602,1
1662,0.145447,0.963158,0.336438,859,0.239473,1
210,0.04363,0.784757,0.215517,116,0.186431,1
1726,0.040801,0.3347,0.113953,860,0.086753,1
634,0.019618,0.91264,0.224026,308,0.210948,1
1844,0.072177,0.874874,0.238967,929,0.190849,1
658,0.04328,0.271466,0.072727,330,0.043874,0
925,0.103069,0.934199,0.287554,466,0.218841,1
1358,0.020269,0.485351,0.133527,689,0.120014,1
340,0.037097,0.932824,0.219101,178,0.19437,1
1158,0.009278,0.549673,0.135823,589,0.129638,1
1060,0.006221,0.09674,0.021236,518,0.017088,0
1590,0.122122,0.139171,0.123021,821,0.041606,0
1993,0.135882,0.497857,0.20854,1007,0.117952,1
1362,0.114583,0.024834,0.082969,687,0.006581,0
877,0.129775,0.768408,0.260143,419,0.173627,1
872,0.012989,0.307675,0.064368,435,0.055708,1
894,0.13472,0.031308,0.1,450,0.010187,0
1647,0.069906,0.648653,0.210199,804,0.163595,1
710,0.115297,0.605664,0.203753,373,0.126889,1
417,0.092364,0.126577,0.119048,210,0.057472,0
735,0.05248,0.181264,0.056911,369,0.021924,0
143,0.03972,0.743425,0.171053,76,0.144573,1
301,0.01772,0.1511,0.042553,141,0.03074,0
271,0.061898,0.006447,0.068702,131,0.027437,0
1566,0.074115,0.999713,0.27892,778,0.22951,1
1473,0.147467,0.290174,0.141007,695,0.042696,0
1424,0.005594,0.891052,0.241033,697,0.237304,1
978,0.088522,0.414076,0.158562,473,0.099547,1
1463,0.078749,0.962778,0.302069,725,0.249569,1
406,0.003434,0.429883,0.136364,198,0.134074,1
1812,0.049461,0.749303,0.220765,915,0.187791,1
1052,0.063439,0.965644,0.291913,507,0.24962,1
1883,0.07414,0.282314,0.108079,916,0.058652,0
389,0.035018,0.0297,0.024631,203,0.001285,0
1045,0.005115,0.44864,0.105469,512,0.102059,1
1423,0.044076,0.761289,0.220386,726,0.191001,1
1042,0.125454,0.564003,0.186992,492,0.103356,1
948,0.121179,0.835255,0.272331,459,0.191545,1
415,0.027113,0.266705,0.082474,194,0.064399,0
824,0.096945,0.067935,0.093525,417,0.028895,0
553,0.138547,0.220919,0.119565,276,0.0272,0
673,0.025816,0.228743,0.050279,358,0.033069,0
1399,0.019301,0.335261,0.110204,735,0.097336,1
1298,0.003322,0.311784,0.067524,622,0.065309,1
1254,0.025862,0.23422,0.094249,626,0.077008,0
787,0.122093,0.121829,0.113924,395,0.032529,0
1924,0.122098,0.521832,0.203302,969,0.121903,1
266,0.081068,0.7114,0.189394,132,0.135349,1
751,0.050035,0.908327,0.308989,356,0.275632,1
324,0.121017,0.275769,0.109677,155,0.028999,0
744,0.029252,0.660537,0.169355,372,0.149853,1
1928,0.020978,0.52756,0.137461,953,0.123475,1
796,0.013382,0.883884,0.239295,397,0.230374,1
1827,0.127699,0.695063,0.228982,904,0.14385,1
1041,0.107226,0.182953,0.128713,505,0.057229,0
1430,0.093688,0.26633,0.11708,726,0.054621,0
969,0.10912,0.624484,0.192,500,0.119253,1
605,0.021522,0.751182,0.193443,305,0.179095,1
1552,0.057718,0.0787,0.060026,783,0.021547,0
1942,0.122117,0.646375,0.22528,981,0.143869,1
600,0.137515,0.170419,0.140575,313,0.048899,0
1580,0.076964,0.942937,0.290576,764,0.239266,1
596,0.018309,0.963756,0.221831,284,0.209625,1
1462,0.146778,0.859201,0.292848,741,0.194996,1
1599,0.059254,0.860535,0.257038,817,0.217535,1
954,0.047849,0.96114,0.224066,482,0.192167,1
1500,0.017999,0.286067,0.083871,775,0.071872,0
617,0.001894,0.522614,0.132716,324,0.131453,1
250,0.090551,0.133904,0.098361,122,0.037993,0
283,0.091865,0.45618,0.166667,138,0.105424,1
949,0.035136,0.104655,0.04375,480,0.020326,0
1815,0.024298,0.691665,0.171181,923,0.154982,1
342,0.079201,0.075666,0.078431,153,0.02563,0
966,0.065311,0.859568,0.259414,478,0.215874,1
1438,0.045548,0.851572,0.228,750,0.197635,1
484,0.032735,0.96562,0.258824,255,0.237,1
1471,0.128896,0.027231,0.074792,722,0,0
681,0.147574,0.818613,0.281818,330,0.183435,1
1637,0.053337,0.292846,0.086288,846,0.05073,0
1201,0.10472,0.195879,0.122034,590,0.052221,0
1139,0.129832,0.750555,0.244936,543,0.158381,1
436,0.004041,0.120065,0.028571,210,0.025878,0
980,0.13621,0.875796,0.263158,494,0.172351,1
1728,0.074872,0.87533,0.253107,885,0.203192,1
137,0.083512,0.555961,0.119403,67,0.063728,1
1541,0.080981,0.422733,0.135526,760,0.081539,1
1036,0.036439,0.88948,0.231203,532,0.20691,1
1467,0.117336,0.712373,0.238028,710,0.159804,1
1360,0.109851,0.032187,0.060383,679,0,0
921,0.014369,0.41202,0.111111,477,0.101532,1
686,0.084419,0.42978,0.131343,335,0.075064,1
1292,0.143554,0.856143,0.280952,630,0.18525,1
366,0.130674,0.88275,0.283237,173,0.196121,1
1210,0.093886,0.543564,0.191388,627,0.128797,1
280,0.029804,0.112265,0.044444,135,0.024575,0
1335,0.052083,0.609077,0.184012,663,0.14929,1
1295,0.022554,0.460429,0.117925,636,0.102889,1
260,0.12329,0.422923,0.207692,130,0.125499,1
1539,0.116801,0.984323,0.30888,777,0.231013,1
890,0.136554,0.995826,0.275556,450,0.18452,1
1595,0.009509,0.409598,0.130221,814,0.123882,1
179,0.144707,0.934582,0.319588,97,0.223116,1
441,0.144964,0.244605,0.144186,215,0.047543,0
1039,0.101161,0.193495,0.125,520,0.057559,0
457,0.132262,0.656724,0.274678,233,0.186503,1
727,0.065766,0.500465,0.175978,358,0.132134,1
1355,0.047011,0.745768,0.20614,684,0.1748,1
374,0.023155,0.109884,0.058511,188,0.043074,0
1388,0.004737,0.482416,0.121212,693,0.118054,1
296,0.0063,0.681775,0.201439,139,0.197239,1
433,0.103735,0.50107,0.175115,217,0.105959,1
1217,0.050486,0.286327,0.107029,626,0.073371,0
1608,0.008109,0.500813,0.113402,776,0.107996,1
424,0.01683,0.585245,0.173516,219,0.162296,1
670,0.099793,0.550357,0.172107,337,0.105578,1
1858,0.140802,0.565889,0.229327,907,0.135459,1
1981,0.061197,0.442789,0.13811,963,0.097312,1
1204,0.116649,0.331008,0.171769,588,0.094003,1
949,0.146037,0.070418,0.144814,511,0.047456,0
759,0.106245,0.046475,0.066496,391,0,0
1264,0.108451,0.533812,0.20216,648,0.12986,1
1223,0.092385,0.858776,0.286872,617,0.225282,1
660,0.146651,0.785677,0.2493,357,0.151532,1
143,0.044971,0.536254,0.121212,66,0.091232,1
387,0.117448,0.6395,0.198953,191,0.120654,1
1922,0.062262,0.976448,0.28125,960,0.239742,1
894,0.023313,0.967237,0.229858,422,0.214316,1
1016,0.110906,0.994805,0.283394,554,0.209456,1
987,0.12441,0.016488,0.075203,492,0,0
1587,0.12954,0.636209,0.219543,788,0.133183,1
223,0.138282,0.745072,0.292035,113,0.199848,1
257,0.111737,0.103072,0.094488,127,0.019997,0
624,0.079143,0.363237,0.165049,309,0.112287,1
1025,0.140804,0.16512,0.124016,508,0.030146,0
1375,0.031435,0.384626,0.132867,715,0.111911,1
1032,0.011596,0.441206,0.124521,522,0.11679,1
938,0.064744,0.178369,0.098739,476,0.055577,0
1882,0.087333,0.496084,0.157895,950,0.099673,1
406,0.101998,0.187583,0.09596,198,0.027961,0
1186,0.122313,0.922293,0.267826,575,0.186284,1
1130,0.004013,0.169477,0.02921,582,0.026534,0
1000,0.120307,0.512549,0.186898,519,0.106693,1
1635,0.090019,0.344291,0.124231,813,0.064218,1
607,0.142942,0.422747,0.181538,325,0.086244,1
1913,0.052185,0.389376,0.135048,933,0.100258,1
730,0.092547,0.978659,0.30504,377,0.243342,1
1136,0.114982,0.663614,0.230508,590,0.153854,1
1089,0.077459,0.048725,0.076782,547,0.025143,0
1715,0.023386,0.835084,0.207719,881,0.192128,1
934,0.00747,0.545433,0.138829,461,0.133849,1
640,0.01671,0.116514,0.025237,317,0.014097,0
141,0.074236,0.471602,0.19697,66,0.147479,1
791,0.095941,0.133499,0.097938,388,0.033977,0
1670,0.085578,0.557508,0.189349,845,0.132297,1
118,0.106937,0.370715,0.109091,55,0.037799,1
1803,0.005849,0.066806,0.019016,894,0.015116,0
1131,0.020451,0.65356,0.176577,555,0.162943,1
366,0.114171,0.23341,0.112903,186,0.036789,0
674,0.117177,0.766368,0.243161,329,0.165043,1
1153,0.105344,0.903813,0.275087,578,0.204857,1
700,0.111815,0.242753,0.112948,363,0.038405,0
306,0.144516,0.305846,0.157233,159,0.060889,1
1366,0.141633,0.046579,0.101538,650,0.007117,0
1377,0.096672,0.481515,0.181034,696,0.116586,1
325,0.0479,0.840285,0.186667,150,0.154733,1
634,0.002116,0.110166,0.027778,324,0.026367,0
563,0.094741,0.167744,0.125,264,0.061839,0
1353,0.064696,0.744603,0.235294,663,0.192164,1
1488,0.022054,0.638108,0.187902,777,0.173199,1
1482,0.032289,0.199336,0.068871,726,0.047345,0
1884,0.140479,0.171246,0.118211,939,0.024558,0
1561,0.009933,0.070472,0.025445,786,0.018823,0
709,0.118121,0.017646,0.087324,355,0.008577,0
304,0.135307,0.422592,0.193333,150,0.103128,1
1268,0.103252,0.107858,0.110585,633,0.04175,0
1841,0.009201,0.292101,0.07636,956,0.070226,0
1953,0.126878,0.87393,0.308091,964,0.223506,1
537,0.097993,0.04935,0.082437,279,0.017108,0
549,0.041555,0.796774,0.242958,284,0.215254,1
171,0.094448,0.381625,0.108434,83,0.045468,1
368,0.020481,0.411886,0.165644,163,0.15199,1
1154,0.106147,0.972666,0.25256,586,0.181795,1
1139,0.135449,0.568479,0.225753,598,0.135453,1
805,0.078252,0.036636,0.067308,416,0.01514,0
689,0.142816,0.793828,0.265193,362,0.169983,1
1677,0.065714,0.554525,0.170213,846,0.126403,1
974,0.128635,0.777066,0.25641,507,0.170654,1
1636,0.116047,0.151215,0.093787,853,0.016422,0
1931,0.013264,0.262518,0.075235,957,0.066392,0
702,0.136898,0.910528,0.331445,353,0.24018,1
485,0.136564,0.429868,0.199219,256,0.108176,1
1911,0.052712,0.510688,0.158228,948,0.123086,1
1306,0.119016,0.643129,0.207715,674,0.128371,1
653,0.033696,0.528293,0.14759,332,0.125127,1
1282,0.004559,0.750621,0.187017,647,0.183978,1
1079,0.031191,0.223171,0.071685,558,0.050891,0
1821,0.072598,0.920839,0.25817,918,0.209771,1
586,0.008665,0.053683,0.028391,317,0.022614,0
1984,0.024001,0.4995,0.127812,978,0.111811,1
1879,0.142566,0.997653,0.315569,957,0.220526,1
443,0.074076,0.658789,0.238938,226,0.189554,1
412,0.123465,0.482173,0.179104,201,0.096794,1
1113,0.030993,0.95254,0.236364,550,0.215701,1
185,0.013278,0.077987,0.021978,91,0.013126,0
668,0.117082,0.42238,0.136223,323,0.058168,1
927,0.052325,0.903557,0.210884,441,0.176001,1
1942,0.068971,0.680245,0.206366,974,0.160385,1
1986,0.148819,0.368436,0.176412,1009,0.077199,1
388,0.04748,0.977555,0.26776,183,0.236107,1
1795,0.070972,0.759137,0.257206,902,0.209892,1
272,0.095222,0.977318,0.29927,137,0.235789,1
1523,0.01336,0.583681,0.175462,758,0.166555,1
1707,0.107465,0.008177,0.068287,864,0,0
1793,0.06776,0.97194,0.266512,863,0.221339,1
524,0.026252,0.824071,0.203065,261,0.185564,1
1798,0.064581,0.550295,0.195604,910,0.15255,1
320,0.0691,0.160891,0.069182,159,0.023116,0
1086,0.096111,0.880938,0.26729,535,0.203216,1
992,0.14057,0.637354,0.214286,490,0.120572,1
700,0.11476,0.003034,0.067227,357,0,0
142,0.057368,0.493779,0.136986,73,0.098741,1
1567,0.145447,0.982317,0.325581,774,0.228617,1
737,0.118625,0.585999,0.208092,346,0.129009,1
1357,0.004193,0.710728,0.194277,664,0.191482,1
879,0.017488,0.65805,0.179039,458,0.167381,1
810,0.032702,0.518739,0.138958,403,0.117157,1
1784,0.012526,0.692089,0.1813,877,0.17295,1
279,0.072814,0.195764,0.115108,139,0.066565,0
1500,0.051108,0.337926,0.123077,715,0.089005,1
1519,0.145939,0.889424,0.31016,748,0.212868,1
822,0.07091,0.269849,0.100703,427,0.053429,0
598,0.031823,0.416747,0.115646,294,0.094431,1
110,0.14561,0.103381,0.074074,54,0,0
1880,0.077082,0.930489,0.285097,926,0.233709,1
1901,0.010959,0.269323,0.077949,975,0.070643,0
558,0.012131,0.580966,0.143369,279,0.135282,1
160,0.101294,0.398772,0.139241,79,0.071711,1
333,0.074219,0.346723,0.173653,167,0.124173,1
228,0.093635,0.168199,0.110169,118,0.047746,0
1679,0.127449,0.996024,0.340113,885,0.255147,1
1795,0.102208,0.289188,0.125141,887,0.057003,0
391,0.129268,0.396428,0.178161,174,0.091982,1
1519,0.111403,0.192729,0.109312,741,0.035043,0
440,0.10116,0.627576,0.2,215,0.13256,1
798,0.020205,0.086172,0.017677,396,0.004207,0
1239,0.072424,0.662945,0.187402,635,0.139119,1
1468,0.064964,0.503087,0.134771,742,0.091462,1
1762,0.081104,0.647485,0.191781,876,0.137711,1
185,0.058671,0.004689,0.04,100,0.000886,0
473,0.093066,0.673485,0.193277,238,0.131234,1
633,0.058868,0.045678,0.039735,302,0.00049,0
689,0.083643,0.917498,0.272222,360,0.21646,1
1997,0.059231,0.793424,0.221545,984,0.182057,1
1577,0.135265,0.123903,0.148907,732,0.05873,0
709,0.056012,0.556263,0.157895,342,0.120553,1
1947,0.10964,0.95686,0.30235,936,0.229257,1
1049,0.09206,0.242621,0.120983,529,0.059609,0
1051,0.057829,0.072688,0.06367,534,0.025118,0
924,0.121145,0.422528,0.191489,470,0.110726,1
373,0.139135,0.138208,0.139896,193,0.04714,0
1876,0.114073,0.777546,0.238696,951,0.162648,1
126,0.142288,0.912149,0.292308,65,0.197449,1
431,0.065446,0.449607,0.210526,190,0.166896,1
536,0.137061,0.997908,0.34252,254,0.251146,1
630,0.131433,0.190085,0.103333,300,0.015711,0
350,0.114358,0.917773,0.327381,168,0.251142,1
134,0.12528,0.32348,0.171429,70,0.087909,1
1388,0.10952,0.901887,0.314121,694,0.241108,1
1942,0.076846,0.904477,0.276004,971,0.224773,1
331,0.082863,0.348872,0.175758,165,0.120516,1
663,0.062653,0.020283,0.057751,329,0.015982,0
1062,0.099644,0.302625,0.12616,539,0.05973,1
1863,0.048718,0.436334,0.138655,952,0.106176,1
1419,0.110949,0.983808,0.324286,700,0.25032,1
1556,0.075767,0.689717,0.21375,800,0.163238,1
1204,0.052978,0.634848,0.197256,583,0.161937,1
892,0.022084,0.64518,0.140271,442,0.125549,1
479,0.038329,0.396264,0.1125,240,0.086947,1
1743,0.09603,0.689628,0.222349,877,0.158329,1
1628,0.055477,0.279671,0.10035,857,0.063365,0
147,0.004975,0.752298,0.135802,81,0.132486,1
1459,0.049461,0.651837,0.214381,751,0.181407,1
260,0.054954,0.746322,0.230769,143,0.194133,1
1504,0.035145,0.151358,0.057333,750,0.033903,0
1670,0.042947,0.552286,0.168646,842,0.140015,1
349,0.105739,0.19172,0.105263,171,0.03477,0
924,0.11194,0.31186,0.120833,480,0.046207,1
335,0.143835,0.791894,0.225,160,0.12911,1
1178,0.017713,0.417379,0.141431,601,0.129622,1
1863,0.046759,0.04984,0.04712,955,0.015948,0
253,0.011557,0.89203,0.170543,129,0.162838,1
855,0.091996,0.107331,0.087156,436,0.025826,0
1949,0.002458,0.497293,0.106383,987,0.104744,1
672,0.030803,0.47535,0.129032,341,0.108497,1
351,0.088047,0.399115,0.154286,175,0.095588,1
1028,0.053811,0.005185,0.032381,525,0,0
1066,0.081656,0.254154,0.096045,531,0.041608,0
1360,0.096036,0.155573,0.104167,672,0.040143,0
696,0.125841,0.163585,0.139818,329,0.055924,0
1916,0.058931,0.126407,0.059305,978,0.020017,0
1090,0.041835,0.824048,0.22913,563,0.20124,1
644,0.080821,0.100951,0.06422,327,0.01034,0
1925,0.010452,0.333023,0.095734,961,0.088765,1
1858,0.006287,0.579831,0.136414,909,0.132222,1
1048,0.067836,0.040891,0.07326,546,0.028036,0
147,0.032712,0.525029,0.123288,73,0.10148,1
1234,0.001082,0.463806,0.123613,631,0.122892,1
1155,0.101906,0.858087,0.268166,578,0.200229,1
381,0.122423,0.116074,0.106145,179,0.02453,0
1305,0.022182,0.058461,0.01849,649,0.003702,0
1698,0.084585,0.147139,0.09689,836,0.0405,0
301,0.147598,0.476283,0.207317,164,0.108919,1
1475,0.040313,0.104979,0.059946,734,0.03307,0
366,0.109622,0.615722,0.231183,186,0.158101,1
1523,0.024315,0.793419,0.216931,756,0.200721,1
896,0.139814,0.5555,0.22779,439,0.134581,1
112,6.50E-05,0.358437,0.076923,52,0.07688,1
1936,0.04421,0.446679,0.137967,964,0.108494,1
415,0.146465,0.242446,0.16,200,0.062357,0
1233,0.100604,0.85208,0.245409,599,0.17834,1
444,0.031777,0.323518,0.049107,224,0.027923,1
1873,0.118705,0.85863,0.302028,937,0.222891,1
1503,0.134713,0.965907,0.327249,767,0.23744,1
1629,0.073091,0.255675,0.122293,785,0.073566,0
921,0.023404,0.857905,0.237705,488,0.222103,1
988,0.038789,0.836452,0.233546,471,0.207686,1
1305,0.141467,0.611337,0.2287,669,0.134388,1
1591,0.024165,0.833836,0.246305,812,0.230195,1
1710,0.046786,0.425516,0.138425,838,0.107234,1
133,0.021831,0.602878,0.12069,58,0.106136,1
1361,0.015841,0.405716,0.075802,686,0.065241,1
307,0.078304,0.998883,0.300654,153,0.248451,1
647,0.059506,0.531856,0.186495,311,0.146824,1
1676,0.006925,0.237244,0.05,860,0.045383,0
576,0.021779,0.670137,0.174216,287,0.159697,1
1614,0.005649,0.758041,0.203947,760,0.200182,1
980,0.003688,0.86134,0.227848,474,0.225389,1
542,0.026771,0.012689,0.023166,259,0.005319,0
735,0.111547,0.747291,0.233333,360,0.158968,1
1108,0.002215,0.530567,0.134191,544,0.132714,1
1554,0.045672,0.726472,0.181699,765,0.151252,1
1252,0.084718,0.527369,0.15,640,0.093521,1
1874,0.111556,0.329678,0.143885,973,0.069515,1
1749,0.101684,0.035124,0.076212,866,0.008423,0
1532,0.148264,0.320352,0.166234,770,0.067391,1
1246,0.041344,0.655988,0.15534,618,0.127777,1
651,2.10E-05,0.009713,0,327,0,0
884,0.005733,0.921472,0.239726,438,0.235904,1
326,0.014628,0.399317,0.168605,172,0.158853,1
811,0.146286,0.062902,0.114914,409,0.017391,0
1861,0.085507,0.88198,0.276128,909,0.219123,1
909,0.119905,0.180711,0.115294,425,0.035357,0
316,0.147762,0.058292,0.126667,150,0.028159,0
1339,0.12664,0.078455,0.104545,660,0.020119,0
1929,0.061142,0.528006,0.180942,934,0.140181,1
1749,0.131382,0.285909,0.136569,886,0.048981,0
621,0.065063,0.841813,0.249221,321,0.205846,1
962,0.017095,0.545571,0.137339,466,0.125942,1
1109,0.08222,0.278089,0.109615,520,0.054802,0
571,0.137362,0.584257,0.219858,282,0.128283,1
610,0.117681,0.944028,0.299663,297,0.221209,1
549,0.060289,0.862382,0.185874,269,0.145681,1
1990,0.12823,0.136496,0.114573,995,0.029086,0
1518,0.069627,0.871943,0.25498,753,0.208562,1
1698,0.102686,0.366242,0.166464,823,0.098007,1
1652,0.04997,0.384458,0.133415,817,0.100101,1
1923,0.029207,0.504068,0.128527,957,0.109055,1
300,0.047021,0.768212,0.195652,138,0.164305,1
1775,0.131275,0.422522,0.175676,888,0.088159,1
226,0.148466,0.661061,0.274336,113,0.175359,1
1003,0.039588,0.17013,0.07438,484,0.047988,0
1230,0.024805,0.295094,0.063866,595,0.047329,0
780,0.010662,0.947836,0.225888,394,0.21878,1
377,0.113073,0.420063,0.183784,185,0.108402,1
465,0.0792,0.726383,0.273859,241,0.221059,1
1667,0.083415,0.079526,0.071256,828,0.015646,0
705,0.006781,0.030309,0.011594,345,0.007074,0
689,0.012159,0.052663,0.01462,342,0.006514,0
